1,302.75,89,7.1,90,73,78,80,187.75,32
2,482,85,16,95,73,100,84,1,2
3,3321.4,89,1.4,96,73,78,80,2.6,96
4,126.17,98,12,100,67,78,82,22.77,89
5,107,87,1.9,95,73,89,62,58.33,93
6,107.57,80,1.7,81,67,78,82,18.21,61
7,255,98,1.3,99,67,100,82,40.8,4
8,136.71,76,2.8,76,60,89,69,11.57,8
9,102.62,91,15.3,97,67,78,82,0.93,91
10,93.37,96,13.5,99,67,89,58,41.66,93
11,133,86,7.7,95,73,78,84,10.67,9
12,221.48,90,10.9,97,53,89,66,37.26,6
13,114,86,16.1,86,73,89,84,67,8
14,269.83,85,4.5,86,53,89,66,74.96,6
15,134.07,84,12.2,85,60,89,69,8.21,4
16,67.5,86,6,86,73,78,80,1.5,95
17,131.57,80,2.3,80,53,67,76,6.5,10
18,213.2,88,1.6,96,73,100,84,7.8,36
19,1360,83,10.4,84,83,89,91,3,3
20,108,86,0.7,95,73,78,80,0.33,90
21,50,72,13.3,72,73,78,84,4,7
22,1069.5,71,3,72,83,89,91,744,36
23,132,83,14.3,84,73,78,84,16,63
24,265.09,94,10.2,94,73,89,62,48.18,11
25,124.17,94,2.1,98,73,100,80,30.84,37
26,408.21,56,5,58,73,78,80,121.46,89
27,259,97,1.2,99,58,100,75,7.2,32
28,408,83,15.2,84,83,89,91,3,6
29,173,46,3.8,47,78,89,89,4.83,93
30,320.48,86,1.2,86,53,89,66,125.18,10
31,128.31,91,12.4,97,67,78,82,20.8,91
32,149.67,89,1.1,96,73,78,80,13,8
33,672.2,91,7.9,97,73,100,84,9.2,36
34,59.58,77,8.8,78,67,100,77,3.95,3
35,499,83,19.7,84,83,89,91,31,5
36,1334,100,8.3,100,73,100,80,89,32
37,229.75,86,10.1,95,73,89,84,87.75,90
38,266.83,36,0.9,37,60,89,69,15.91,7
39,49.43,42,10.6,43,73,78,62,6,89
40,64.96,18,4.3,18,60,78,79,5.15,1
41,106.75,90,16.2,96,73,78,80,24.13,93
42,580.5,72,4.4,72,67,89,72,19,40
43,205,73,1.4,74,58,78,80,12,7
44,294.5,87,14.5,95,73,89,62,66,39
45,113.25,88,1.7,96,53,78,66,43.25,41
46,68.91,19,4.4,20,60,78,79,5.91,2
47,184.67,73,2.7,74,73,89,80,40.84,93
48,131.25,70,4.8,70,73,89,84,3.63,10
49,142.5,93,4.4,98,73,78,84,26.75,95
50,141.77,56,7.5,56,67,78,77,88.31,86
51,269.09,85,3.9,85,53,89,66,84.92,2
52,227,88,21.2,96,73,100,84,23,34
53,511.25,77,4.7,78,73,89,84,269.25,91
54,173,67,0.5,68,73,100,80,1.67,92
55,645,86,8,86,73,89,80,86.5,64
56,300.12,90,7.9,97,67,78,82,14.88,63
57,1035,71,8.4,72,73,78,88,6,11
58,515.2,86,9.2,95,73,100,84,8.8,37
59,430.5,40,3.3,40,73,67,84,13.25,61
60,205.33,90,3.5,97,60,100,74,48.33,28
61,262.5,92,6.9,97,60,100,74,83.5,5
62,451,23,1.8,24,42,78,74,334.1,7
63,207,86,13.5,86,73,89,84,78.5,5
64,115,72,12.9,72,83,89,91,4.5,7
65,184,100,12.1,100,80,78,87,1,9
66,119.33,86,1.2,95,73,78,84,1.66,6
67,166.67,75,1.2,75,67,78,77,7.84,38
68,241.5,78,7.7,79,67,89,72,71.5,10
69,301.8,98,1.2,100,73,100,84,8.2,31
70,300.6,100,1.4,100,67,100,82,42.6,1
71,227.6,86,14.5,95,73,100,84,10.6,39
